"year","agDistrict","agDistrictCode","county","countyANSI","cornPlanted","cornHarvested","cornYield","cvCornPlanted","cvCornHarvested","cvCornYield","cornPercentHarvest"
2021,"",99,"OTHER COUNTIES",NA,318200,306580,"188.5",0.2,1.4,1.3,0.963482086737901
2021,"CENTRAL",50,"DELAWARE",41,36000,33600,"201.6",0.4,3.9,2.3,0.933333333333333
2021,"CENTRAL",50,"FAYETTE",47,88200,86300,"207.1",0.4,3.6,2.3,0.978458049886621
2021,"CENTRAL",50,"KNOX",83,51900,48400,"185.6",0.3,3.9,3.9,0.932562620423892
2021,"CENTRAL",50,"LICKING",89,55600,51700,"179.8",0.3,3.9,2.8,0.929856115107914
2021,"CENTRAL",50,"MADISON",97,97300,90900,"210.1",0.8,3.9,2.9,0.934224049331963
2021,"CENTRAL",50,"MARION",101,69300,66500,"191.1",0.3,3.6,4.5,0.95959595959596
2021,"CENTRAL",50,"MORROW",117,46200,44700,"191.3",0.3,3.1,2.1,0.967532467532468
2021,"CENTRAL",50,"PICKAWAY",129,87400,85500,"195.8",0.4,3.6,2.1,0.978260869565217
2021,"CENTRAL",50,"ROSS",141,50300,47900,"187.1",0.3,3.9,4.2,0.952286282306163
2021,"CENTRAL",50,"UNION",159,57300,55300,"198.8",0.3,1.8,3.4,0.965095986038394
2021,"EAST CENTRAL",60,"BELMONT",13,800,450,"161.6",14.2,24.8,5.4,0.5625
2021,"EAST CENTRAL",60,"CARROLL",19,11700,10200,"155.4",1,2.2,1.4,0.871794871794872
2021,"EAST CENTRAL",60,"COSHOCTON",31,25000,24100,"182.8",0.6,2.1,4.4,0.964
2021,"EAST CENTRAL",60,"HARRISON",67,3800,3660,"173.5",3.2,3.6,3.6,0.963157894736842
2021,"EAST CENTRAL",60,"HOLMES",75,21200,13500,"176.2",0.7,7.7,4.3,0.636792452830189
2021,"EAST CENTRAL",60,"JEFFERSON",81,2700,2490,"148.6",2,5.1,6.5,0.922222222222222
2021,"EAST CENTRAL",60,"TUSCARAWAS",157,23900,18000,"169.1",0.6,6.3,3.4,0.753138075313807
2021,"NORTH CENTRAL",20,"ASHLAND",5,40600,34600,"178.3",0.8,3.8,3.3,0.852216748768473
2021,"NORTH CENTRAL",20,"CRAWFORD",33,78100,76900,"201.2",0.3,2.3,1.5,0.984635083226633
2021,"NORTH CENTRAL",20,"ERIE",43,27400,27000,"182.6",2.6,4.4,2.4,0.985401459854015
2021,"NORTH CENTRAL",20,"HURON",77,61500,57000,"187",0.3,4.1,3,0.926829268292683
2021,"NORTH CENTRAL",20,"LORAIN",93,23200,22000,"179.3",2.9,4.1,2.2,0.948275862068966
2021,"NORTH CENTRAL",20,"OTTAWA",123,17000,15900,"182",6.1,7.2,2,0.935294117647059
2021,"NORTH CENTRAL",20,"SANDUSKY",143,62500,62000,"198.8",0.3,3,2.2,0.992
