"ID","year","county","month","precip","avgT","minT","frozen"
33001012001,2001,"Adams","Jan",1.46,29.7,20.7,1
33001012001,2001,"Adams","Feb",1.88,37.8,27.4,1
33001012001,2001,"Adams","Mar",2.4,39.7,29.7,1
33001012001,2001,"Adams","Apr",1.94,57.2,44,0
33001012001,2001,"Adams","May",6.66,64.2,51.6,0
33001012001,2001,"Adams","Jun",3.98,69.2,57.6,0
33001012001,2001,"Adams","Jul",6.16,73.4,62.2,0
33001012001,2001,"Adams","Aug",4.11,74.3,63.8,0
33001012001,2001,"Adams","Sep",2.07,64,51.9,0
33001012001,2001,"Adams","Oct",3.84,54.6,41.9,0
33001012001,2001,"Adams","Nov",4.31,49.2,35.3,0
33001012001,2001,"Adams","Dec",2.57,40.5,31.2,1
33001012002,2002,"Adams","Jan",3.08,35.5,26.1,1
33001012002,2002,"Adams","Feb",1.03,37.4,25.5,1
33001012002,2002,"Adams","Mar",6.5,42.1,30.7,1
33001012002,2002,"Adams","Apr",6.16,55.8,43.9,0
33001012002,2002,"Adams","May",5.13,59.5,46.8,0
33001012002,2002,"Adams","Jun",3.88,72.7,60.9,0
33001012002,2002,"Adams","Jul",2.33,76.8,65.1,0
33001012002,2002,"Adams","Aug",1.74,75.9,63.5,0
33001012002,2002,"Adams","Sep",4.22,69.9,56.5,0
33001012002,2002,"Adams","Oct",5.11,54.5,45.2,0
33001012002,2002,"Adams","Nov",2.95,41.9,33.5,0
33001012002,2002,"Adams","Dec",3.53,33.7,26.2,1
33001012003,2003,"Adams","Jan",1.77,25.4,17.6,1
33001012003,2003,"Adams","Feb",4.85,29.8,22.4,1
33001012003,2003,"Adams","Mar",2.47,45.7,33.5,0
33001012003,2003,"Adams","Apr",3.36,54.9,42.2,0
33001012003,2003,"Adams","May",8.77,61.8,51.1,0
33001012003,2003,"Adams","Jun",3.95,66.9,55.6,0
33001012003,2003,"Adams","Jul",6.52,73.1,61.9,0
33001012003,2003,"Adams","Aug",5.07,73.5,63,0
33001012003,2003,"Adams","Sep",5.49,64.4,52.8,0
33001012003,2003,"Adams","Oct",2.54,53.5,41,0
33001012003,2003,"Adams","Nov",4.38,48.1,37.4,0
33001012003,2003,"Adams","Dec",3.1,35.1,27.2,1
33001012004,2004,"Adams","Jan",3.39,28.5,19.7,1
33001012004,2004,"Adams","Feb",1.84,34,23.6,1
33001012004,2004,"Adams","Mar",4.59,45.6,34.7,0
33001012004,2004,"Adams","Apr",3.32,53.3,42.1,0
33001012004,2004,"Adams","May",6.51,67.3,55.7,0
33001012004,2004,"Adams","Jun",2.89,70.2,59,0
33001012004,2004,"Adams","Jul",4.35,73.1,62.1,0
33001012004,2004,"Adams","Aug",3.9,69.9,58.2,0
33001012004,2004,"Adams","Sep",3.81,67.5,55.7,0
33001012004,2004,"Adams","Oct",4.11,56,44.2,0
33001012004,2004,"Adams","Nov",4.75,47.6,38.2,0
33001012004,2004,"Adams","Dec",3.86,34.3,24.9,1
33001012005,2005,"Adams","Jan",6.13,34.9,26.9,1
33001012005,2005,"Adams","Feb",1.37,37.6,27.8,1
33001012005,2005,"Adams","Mar",3.89,38.7,28.7,1
33001012005,2005,"Adams","Apr",4.16,55.2,42.4,0
33001012005,2005,"Adams","May",2.3,58.7,45.1,0
33001012005,2005,"Adams","Jun",1.39,72.6,60.4,0
33001012005,2005,"Adams","Jul",5.69,76.3,65.5,0
33001012005,2005,"Adams","Aug",5.93,75.8,63.9,0
33001012005,2005,"Adams","Sep",2.19,69.4,56.1,0
33001012005,2005,"Adams","Oct",2.84,55.4,44.3,0
33001012005,2005,"Adams","Nov",2.2,46.2,33.8,0
33001012005,2005,"Adams","Dec",2.32,30.8,23.3,1
33001012006,2006,"Adams","Jan",4.37,41.4,32,0
33001012006,2006,"Adams","Feb",1.15,34.6,25.6,1
33001012006,2006,"Adams","Mar",5.28,42.5,31.9,1
33001012006,2006,"Adams","Apr",4.71,57.6,43.9,0
33001012006,2006,"Adams","May",2.46,60.3,47.9,0
33001012006,2006,"Adams","Jun",4.36,69.1,57.2,0
