"year","agDistrict","county","countyANSI","cornPlanted","cornHarvested","cornYield","cvCornPlanted","cvCornHarvested","cvCornYield","cornPercentHarvest","month","precip","avgT","minT","frozen","month_num"
2021,"CENTRAL","DELAWARE",41,36000,33600,201.6,0.4,3.9,2.3,0.933333333333333,"Jan",1.81,30.5,25.2,1,1
2021,"CENTRAL","DELAWARE",41,36000,33600,201.6,0.4,3.9,2.3,0.933333333333333,"Feb",1.36,24.2,16.6,1,2
2021,"CENTRAL","DELAWARE",41,36000,33600,201.6,0.4,3.9,2.3,0.933333333333333,"Mar",2.72,44.5,31.7,1,3
2021,"CENTRAL","DELAWARE",41,36000,33600,201.6,0.4,3.9,2.3,0.933333333333333,"Apr",2.44,51.6,39.7,0,4
2021,"CENTRAL","DELAWARE",41,36000,33600,201.6,0.4,3.9,2.3,0.933333333333333,"May",3.84,59,47.1,0,5
2021,"CENTRAL","DELAWARE",41,36000,33600,201.6,0.4,3.9,2.3,0.933333333333333,"Jun",4.51,71.4,60.7,0,6
2021,"CENTRAL","DELAWARE",41,36000,33600,201.6,0.4,3.9,2.3,0.933333333333333,"Jul",6.4,73.1,63,0,7
2021,"CENTRAL","DELAWARE",41,36000,33600,201.6,0.4,3.9,2.3,0.933333333333333,"Aug",5.06,74.1,63.7,0,8
2021,"CENTRAL","DELAWARE",41,36000,33600,201.6,0.4,3.9,2.3,0.933333333333333,"Sep",3.3,66.9,55.4,0,9
2021,"CENTRAL","DELAWARE",41,36000,33600,201.6,0.4,3.9,2.3,0.933333333333333,"Oct",4.43,60.4,51.1,0,10
2021,"CENTRAL","DELAWARE",41,36000,33600,201.6,0.4,3.9,2.3,0.933333333333333,"Nov",1.91,40,30.2,1,11
2021,"CENTRAL","DELAWARE",41,36000,33600,201.6,0.4,3.9,2.3,0.933333333333333,"Dec",4.08,40,30.7,1,12
2021,"CENTRAL","FAYETTE",47,88200,86300,207.1,0.4,3.6,2.3,0.978458049886621,"Jan",2.54,31.5,26.1,1,1
2021,"CENTRAL","FAYETTE",47,88200,86300,207.1,0.4,3.6,2.3,0.978458049886621,"Feb",2.56,24.9,17.8,1,2
2021,"CENTRAL","FAYETTE",47,88200,86300,207.1,0.4,3.6,2.3,0.978458049886621,"Mar",3.42,45.2,32.8,0,3
2021,"CENTRAL","FAYETTE",47,88200,86300,207.1,0.4,3.6,2.3,0.978458049886621,"Apr",2.92,51.8,40.3,0,4
2021,"CENTRAL","FAYETTE",47,88200,86300,207.1,0.4,3.6,2.3,0.978458049886621,"May",3.32,59.6,47.6,0,5
2021,"CENTRAL","FAYETTE",47,88200,86300,207.1,0.4,3.6,2.3,0.978458049886621,"Jun",3.51,71.9,61.2,0,6
2021,"CENTRAL","FAYETTE",47,88200,86300,207.1,0.4,3.6,2.3,0.978458049886621,"Jul",6.11,73.7,63.9,0,7
2021,"CENTRAL","FAYETTE",47,88200,86300,207.1,0.4,3.6,2.3,0.978458049886621,"Aug",3.59,74.7,64.5,0,8
2021,"CENTRAL","FAYETTE",47,88200,86300,207.1,0.4,3.6,2.3,0.978458049886621,"Sep",3.6,67.5,56,0,9
2021,"CENTRAL","FAYETTE",47,88200,86300,207.1,0.4,3.6,2.3,0.978458049886621,"Oct",4.17,60.5,50.7,0,10
2021,"CENTRAL","FAYETTE",47,88200,86300,207.1,0.4,3.6,2.3,0.978458049886621,"Nov",1.87,40.5,30.2,1,11
2021,"CENTRAL","FAYETTE",47,88200,86300,207.1,0.4,3.6,2.3,0.978458049886621,"Dec",3.56,41.2,31,1,12
2021,"CENTRAL","KNOX",83,51900,48400,185.6,0.3,3.9,3.9,0.932562620423892,"Jan",1.82,30.2,25.1,1,1
2021,"CENTRAL","KNOX",83,51900,48400,185.6,0.3,3.9,3.9,0.932562620423892,"Feb",1.93,23.6,15.8,1,2
2021,"CENTRAL","KNOX",83,51900,48400,185.6,0.3,3.9,3.9,0.932562620423892,"Mar",3.02,43,29.8,1,3
2021,"CENTRAL","KNOX",83,51900,48400,185.6,0.3,3.9,3.9,0.932562620423892,"Apr",3.04,50.1,37.9,0,4
2021,"CENTRAL","KNOX",83,51900,48400,185.6,0.3,3.9,3.9,0.932562620423892,"May",4.64,57.5,45.5,0,5
2021,"CENTRAL","KNOX",83,51900,48400,185.6,0.3,3.9,3.9,0.932562620423892,"Jun",4.48,69.8,58.9,0,6
2021,"CENTRAL","KNOX",83,51900,48400,185.6,0.3,3.9,3.9,0.932562620423892,"Jul",5.57,71.2,60.9,0,7
2021,"CENTRAL","KNOX",83,51900,48400,185.6,0.3,3.9,3.9,0.932562620423892,"Aug",4.36,72.9,62.4,0,8
2021,"CENTRAL","KNOX",83,51900,48400,185.6,0.3,3.9,3.9,0.932562620423892,"Sep",3.53,65.1,53.3,0,9
2021,"CENTRAL","KNOX",83,51900,48400,185.6,0.3,3.9,3.9,0.932562620423892,"Oct",4.66,59.3,50,0,10
2021,"CENTRAL","KNOX",83,51900,48400,185.6,0.3,3.9,3.9,0.932562620423892,"Nov",1.67,39.1,29.6,1,11
2021,"CENTRAL","KNOX",83,51900,48400,185.6,0.3,3.9,3.9,0.932562620423892,"Dec",4.12,38.5,29.1,1,12
2021,"CENTRAL","LICKING",89,55600,51700,179.8,0.3,3.9,2.8,0.929856115107914,"Jan",1.97,30.7,25.5,1,1
2021,"CENTRAL","LICKING",89,55600,51700,179.8,0.3,3.9,2.8,0.929856115107914,"Feb",2.03,25.4,17.9,1,2
2021,"CENTRAL","LICKING",89,55600,51700,179.8,0.3,3.9,2.8,0.929856115107914,"Mar",3.28,44.3,30.9,1,3
2021,"CENTRAL","LICKING",89,55600,51700,179.8,0.3,3.9,2.8,0.929856115107914,"Apr",3.38,51,38.5,0,4
2021,"CENTRAL","LICKING",89,55600,51700,179.8,0.3,3.9,2.8,0.929856115107914,"May",4.24,58.2,45.9,0,5
2021,"CENTRAL","LICKING",89,55600,51700,179.8,0.3,3.9,2.8,0.929856115107914,"Jun",3.84,70.5,59.1,0,6
2021,"CENTRAL","LICKING",89,55600,51700,179.8,0.3,3.9,2.8,0.929856115107914,"Jul",5.04,72.2,61.7,0,7
2021,"CENTRAL","LICKING",89,55600,51700,179.8,0.3,3.9,2.8,0.929856115107914,"Aug",4.86,73.9,63.3,0,8
2021,"CENTRAL","LICKING",89,55600,51700,179.8,0.3,3.9,2.8,0.929856115107914,"Sep",4.17,66.1,54.3,0,9
2021,"CENTRAL","LICKING",89,55600,51700,179.8,0.3,3.9,2.8,0.929856115107914,"Oct",4.76,60.1,50.5,0,10
2021,"CENTRAL","LICKING",89,55600,51700,179.8,0.3,3.9,2.8,0.929856115107914,"Nov",1.58,40,29.8,1,11
2021,"CENTRAL","LICKING",89,55600,51700,179.8,0.3,3.9,2.8,0.929856115107914,"Dec",3.74,39.8,29.9,1,12
2021,"CENTRAL","MADISON",97,97300,90900,210.1,0.8,3.9,2.9,0.934224049331963,"Jan",2.15,30.9,25.5,1,1
2021,"CENTRAL","MADISON",97,97300,90900,210.1,0.8,3.9,2.9,0.934224049331963,"Feb",1.89,24.3,17.2,1,2
2021,"CENTRAL","MADISON",97,97300,90900,210.1,0.8,3.9,2.9,0.934224049331963,"Mar",2.96,45.1,32.7,0,3
2021,"CENTRAL","MADISON",97,97300,90900,210.1,0.8,3.9,2.9,0.934224049331963,"Apr",2.29,52,40.6,0,4
2021,"CENTRAL","MADISON",97,97300,90900,210.1,0.8,3.9,2.9,0.934224049331963,"May",4.1,59.7,48.1,0,5
2021,"CENTRAL","MADISON",97,97300,90900,210.1,0.8,3.9,2.9,0.934224049331963,"Jun",3.35,72,61.6,0,6
2021,"CENTRAL","MADISON",97,97300,90900,210.1,0.8,3.9,2.9,0.934224049331963,"Jul",7.11,73.5,64.1,0,7
2021,"CENTRAL","MADISON",97,97300,90900,210.1,0.8,3.9,2.9,0.934224049331963,"Aug",4.07,74.8,64.8,0,8
2021,"CENTRAL","MADISON",97,97300,90900,210.1,0.8,3.9,2.9,0.934224049331963,"Sep",5,67.6,56.6,0,9
2021,"CENTRAL","MADISON",97,97300,90900,210.1,0.8,3.9,2.9,0.934224049331963,"Oct",3.98,60.9,51.7,0,10
2021,"CENTRAL","MADISON",97,97300,90900,210.1,0.8,3.9,2.9,0.934224049331963,"Nov",1.54,40.5,30.5,1,11
2021,"CENTRAL","MADISON",97,97300,90900,210.1,0.8,3.9,2.9,0.934224049331963,"Dec",3.56,40.6,30.8,1,12
2021,"CENTRAL","MARION",101,69300,66500,191.1,0.3,3.6,4.5,0.95959595959596,"Jan",1.37,30.4,25.7,1,1
2021,"CENTRAL","MARION",101,69300,66500,191.1,0.3,3.6,4.5,0.95959595959596,"Feb",1.01,23.1,15,1,2
2021,"CENTRAL","MARION",101,69300,66500,191.1,0.3,3.6,4.5,0.95959595959596,"Mar",2.18,44.5,32.2,0,3
2021,"CENTRAL","MARION",101,69300,66500,191.1,0.3,3.6,4.5,0.95959595959596,"Apr",2.27,52.3,40.9,0,4
2021,"CENTRAL","MARION",101,69300,66500,191.1,0.3,3.6,4.5,0.95959595959596,"May",3.86,58.9,47.6,0,5
2021,"CENTRAL","MARION",101,69300,66500,191.1,0.3,3.6,4.5,0.95959595959596,"Jun",4.17,70.6,60.4,0,6
2021,"CENTRAL","MARION",101,69300,66500,191.1,0.3,3.6,4.5,0.95959595959596,"Jul",5.22,73,63.4,0,7
2021,"CENTRAL","MARION",101,69300,66500,191.1,0.3,3.6,4.5,0.95959595959596,"Aug",3.55,74.1,64,0,8
2021,"CENTRAL","MARION",101,69300,66500,191.1,0.3,3.6,4.5,0.95959595959596,"Sep",3.79,66.9,55.6,0,9
2021,"CENTRAL","MARION",101,69300,66500,191.1,0.3,3.6,4.5,0.95959595959596,"Oct",4.77,60.6,51.5,0,10
2021,"CENTRAL","MARION",101,69300,66500,191.1,0.3,3.6,4.5,0.95959595959596,"Nov",1.59,40.7,31.8,1,11
2021,"CENTRAL","MARION",101,69300,66500,191.1,0.3,3.6,4.5,0.95959595959596,"Dec",5.06,39.5,30.8,1,12
2021,"CENTRAL","MORROW",117,46200,44700,191.3,0.3,3.1,2.1,0.967532467532468,"Jan",1.7,29.4,24.4,1,1
2021,"CENTRAL","MORROW",117,46200,44700,191.3,0.3,3.1,2.1,0.967532467532468,"Feb",1.44,22.6,14.7,1,2
